name	subspecies	serovar	core	contigs	quality
GCA_000188495	enterica	Montevideo	358	116	1
GCA_000188515	enterica	Montevideo	364	69	1
GCA_000188535	enterica	Montevideo	362	60	1
GCA_000188555	enterica	Montevideo	364	39	1
GCA_000188575	enterica	Montevideo	363	44	1
GCA_000188595	enterica	Montevideo	364	46	1
GCA_000188615	enterica	Montevideo	365	37	1
GCA_000188635	enterica	Montevideo	365	38	1
GCA_000188655	enterica	Montevideo	365	47	1
GCA_000188735	enterica	Typhimurium	403	4	1
GCA_000188895	enterica	Montevideo	356	98	1
GCA_000188915	enterica	Montevideo	362	83	1
GCA_000188935	enterica	Montevideo	358	95	1
GCA_000188955	enterica	Montevideo	366	1	1
GCA_000188975	enterica	Montevideo	353	173	1
GCA_000188995	enterica	Montevideo	364	52	1
GCA_000189015	enterica	Montevideo	359	185	1
GCA_000189035	enterica	Montevideo	348	194	1
GCA_000189055	enterica	Montevideo	365	32	1
GCA_000189075	enterica	Montevideo	364	30	1
GCA_000189095	enterica	Montevideo	365	34	1
GCA_000189115	enterica	Montevideo	365	40	1
GCA_000189135	enterica	Montevideo	362	103	1
GCA_000189155	enterica	Montevideo	362	81	1
GCA_000189175	enterica	Montevideo	352	165	1
GCA_000189195	enterica	Montevideo	359	123	1
GCA_000189215	enterica	Montevideo	365	42	1
GCA_000189235	enterica	Montevideo	364	70	1
GCA_000192085	enterica	Dublin	398	2	1
GCA_000192125	enterica	Gallinarum	392	2	1
GCA_000195995	enterica	Typhi	361	3	1
GCA_000210855	enterica	Typhimurium	403	4	1
GCA_000213635	enterica	Typhimurium	404	2	1
GCA_000230505	enterica	Weltevreden	392	67	1
GCA_000230875	enterica	Infantis	363	2	1
GCA_000231465	enterica	Adelaide	222	2076	0
GCA_000231485	enterica	Alachua	203	2683	0
GCA_000231505	enterica	Gaminara	220	2028	0
GCA_000231525	enterica	Give	238	1599	0
GCA_000231545	enterica	Hvittingfoss	268	1812	0
GCA_000231565	enterica	Inverness	247	2138	0
GCA_000231585	enterica	Johannesburg	207	2111	0
GCA_000231605	enterica	Minnesota	197	2468	0
GCA_000231625	enterica	Mississippi	225	1730	0
GCA_000231645	enterica	Montevideo	232	1434	0
GCA_000231665	enterica	Rubislaw	215	2416	0
GCA_000231685	enterica	Senftenberg	229	2108	0
GCA_000231705	enterica	Uganda	253	1543	0
GCA_000231725	enterica	Urbana	205	2504	0
GCA_000231745	enterica	Wandsworth	239	2114	0
GCA_000235545	enterica	Gallinarum/pullorum	384	1	1
GCA_000236105	enterica	Baildon	269	1762	0
GCA_000238435	enterica	Montevideo	353	73	1
GCA_000238455	enterica	Montevideo	353	80	1
GCA_000238475	enterica	Montevideo	350	78	1
GCA_000238495	enterica	Montevideo	358	61	1
GCA_000238515	enterica	Montevideo	358	53	1
GCA_000238535	enterica	Montevideo	357	193	1
GCA_000238555	enterica	Montevideo	356	55	1
GCA_000240785	enterica	Montevideo	362	50	1
GCA_000240805	enterica	Montevideo	354	138	1
GCA_000240825	enterica	Montevideo	364	50	1
GCA_000240845	enterica	Montevideo	365	41	1
GCA_000240865	enterica	Montevideo	364	40	1
GCA_000240885	enterica	Montevideo	364	57	1
GCA_000240905	enterica	Pomona	351	94	1
GCA_000242795	enterica	Montevideo	364	38	1
GCA_000245535	enterica	Typhi	361	2	1
GCA_000251025	houtenae	IV	86	3	1
GCA_000252875	enterica	Typhimurium	403	2	1
GCA_000256015	enterica	Typhi	353	191	1
GCA_000256625	enterica	Heidelberg	402	61	1
GCA_000258365	enterica	Heidelberg	404	2	1
GCA_000261985	enterica	Enteritidis	402	44	1
GCA_000262615	enterica	Typhi	345	334	1
GCA_000262635	enterica	Typhi	342	416	1
GCA_000263295	enterica	Senftenberg	370	109	1
GCA_000267565	enterica	Typhi	347	222	1
GCA_000271885	enterica	Newport	398	77	1
GCA_000271905	enterica	Newport	400	68	1
GCA_000272515	enterica	Newport	397	75	1
GCA_000272535	enterica	Newport	399	51	1
GCA_000272555	enterica	Newport	400	56	1
GCA_000272575	enterica	Newport	403	44	1
GCA_000272595	enterica	Newport	403	40	1
GCA_000272615	enterica	Newport	398	63	1
GCA_000272635	enterica	Newport	399	57	1
GCA_000272655	enterica	Newport	401	57	1
GCA_000272675	enterica	Newport	400	68	1
GCA_000272695	enterica	Newport	400	64	1
GCA_000272715	enterica	Newport	405	1	1
GCA_000272735	enterica	Newport	404	1	1
GCA_000272755	enterica	Newport	405	1	1
GCA_000272775	enterica	Newport	404	1	1
GCA_000272795	enterica	Newport	405	1	1
GCA_000272815	enterica	Newport	405	1	1
GCA_000272835	enterica	Newport	405	2	1
GCA_000272855	enterica	Newport	399	62	1
GCA_000272875	enterica	Newport	400	54	1
GCA_000272895	enterica	Newport	403	4	1
GCA_000272915	enterica	Newport	395	62	1
GCA_000272935	enterica	Newport	404	38	1
GCA_000272955	enterica	Newport	401	65	1
GCA_000272975	enterica	Newport	395	74	1
GCA_000278465	enterica	Enteritidis	402	40	1
GCA_000278485	enterica	Enteritidis	402	35	1
GCA_000278505	enterica	Enteritidis	399	98	1
GCA_000278525	enterica	Enteritidis	403	38	1
GCA_000278545	enterica	Enteritidis	402	41	1
GCA_000280075	enterica	Enteritidis	401	56	1
GCA_000280095	enterica	Enteritidis	402	52	1
GCA_000280115	enterica	Enteritidis	403	45	1
GCA_000280135	enterica	Enteritidis	403	43	1
GCA_000280155	enterica	Enteritidis	403	52	1
GCA_000280175	enterica	Enteritidis	402	39	1
GCA_000280195	enterica	Enteritidis	403	38	1
GCA_000280215	enterica	Enteritidis	402	41	1
GCA_000280235	enterica	Enteritidis	403	30	1
GCA_000280255	enterica	Enteritidis	401	50	1
GCA_000280275	enterica	Enteritidis	401	50	1
GCA_000280295	enterica	Enteritidis	403	42	1
GCA_000280315	enterica	Enteritidis	405	2	1
GCA_000280335	enterica	Enteritidis	403	43	1
GCA_000280355	enterica	Enteritidis	403	40	1
GCA_000280375	enterica	Enteritidis	403	39	1
GCA_000280395	enterica	Enteritidis	402	42	1
GCA_000280415	enterica	Enteritidis	402	53	1
GCA_000280435	enterica	Enteritidis	402	55	1
GCA_000280455	enterica	Enteritidis	403	45	1
GCA_000280475	enterica	Enteritidis	401	46	1
GCA_000282855	enterica	Typhi	327	538	1
GCA_000282875	enterica	Typhi	353	201	1
GCA_000283735	enterica	Typhimurium	399	3	1
GCA_000284755	enterica	Heidelberg	401	81	1
GCA_000284775	enterica	Heidelberg	392	145	1
GCA_000284795	enterica	Heidelberg	401	101	1
GCA_000284815	enterica	Heidelberg	396	163	1
GCA_000292755	enterica	Typhimurium	394	8	1
GCA_000293055	enterica	Hartford	396	47	1
GCA_000293075	enterica	Bareilly	387	102	1
GCA_000293095	enterica	Hadar	401	54	1
GCA_000293115	enterica	Mississippi	343	142	1
GCA_000293905	enterica	Heidelberg	401	74	1
GCA_000293925	enterica	Heidelberg	404	59	1
GCA_000293945	enterica	Heidelberg	401	55	1
GCA_000293965	enterica	Heidelberg	404	46	1
GCA_000308035	salamae	II	187	138	1
GCA_000312745	enterica	Typhimurium	403	83	1
GCA_000312765	enterica	Typhimurium	403	110	1
GCA_000312785	enterica	Typhimurium	403	253	1
GCA_000312805	enterica	Typhimurium	384	449	1
GCA_000312825	enterica	Typhimurium	402	115	1
GCA_000312845	enterica	Typhimurium	403	95	1
GCA_000312865	enterica	Typhimurium	403	105	1
GCA_000312885	enterica	Typhimurium	403	147	1
GCA_000312905	enterica	Typhimurium	403	104	1
GCA_000313715	enterica	Enteritidis	395	75	1
GCA_000314915	enterica	Typhimurium	396	256	1
GCA_000315995	enterica	Thompson	382	110	1
GCA_000316015	enterica	Mbandaka	376	53	1
GCA_000319795	enterica	Typhimurium	402	88	1
GCA_000328985	enterica	Enteritidis	368	429	1
GCA_000329005	enterica	Enteritidis	328	1019	0
GCA_000329025	enterica	Enteritidis	398	120	1
GCA_000329045	enterica	Enteritidis	403	40	1
GCA_000329065	enterica	Enteritidis	402	51	1
GCA_000329085	enterica	Enteritidis	403	51	1
GCA_000329105	enterica	Enteritidis	402	42	1
GCA_000329125	enterica	Enteritidis	404	37	1
GCA_000329145	enterica	Enteritidis	402	37	1
GCA_000329165	enterica	Enteritidis	402	40	1
GCA_000329185	enterica	Enteritidis	401	60	1
GCA_000329205	enterica	Enteritidis	403	40	1
GCA_000329225	enterica	Enteritidis	402	35	1
GCA_000329245	enterica	Enteritidis	402	36	1
GCA_000329265	enterica	Enteritidis	403	34	1
GCA_000329285	enterica	Enteritidis	402	42	1
GCA_000329305	enterica	Enteritidis	402	41	1
GCA_000329325	enterica	Enteritidis	402	31	1
GCA_000329345	enterica	Enteritidis	403	44	1
GCA_000329365	enterica	Enteritidis	405	2	1
GCA_000329385	enterica	Enteritidis	402	46	1
GCA_000329405	enterica	Enteritidis	402	43	1
GCA_000329425	enterica	Enteritidis	402	65	1
GCA_000329445	enterica	Enteritidis	401	64	1
GCA_000329465	enterica	Enteritidis	403	65	1
GCA_000329485	enterica	Enteritidis	403	57	1
GCA_000329505	enterica	Enteritidis	402	59	1
GCA_000329525	enterica	Enteritidis	402	44	1
GCA_000329545	enterica	Enteritidis	403	51	1
GCA_000329565	enterica	Enteritidis	401	41	1
GCA_000329585	enterica	Enteritidis	403	53	1
GCA_000329605	enterica	Enteritidis	403	40	1
GCA_000329625	enterica	Enteritidis	403	47	1
GCA_000329645	enterica	Enteritidis	403	63	1
GCA_000329665	enterica	Enteritidis	401	78	1
GCA_000329685	enterica	Enteritidis	401	110	1
GCA_000329705	enterica	Enteritidis	402	60	1
GCA_000329725	enterica	Enteritidis	402	56	1
GCA_000329745	enterica	Enteritidis	401	57	1
GCA_000329765	enterica	Enteritidis	402	65	1
GCA_000329785	enterica	Enteritidis	399	65	1
GCA_000329805	enterica	Enteritidis	400	44	1
GCA_000329825	enterica	Enteritidis	399	51	1
GCA_000329845	enterica	Enteritidis	398	104	1
GCA_000329865	enterica	Enteritidis	295	1172	0
GCA_000329885	enterica	Enteritidis	401	63	1
GCA_000329905	enterica	Enteritidis	403	65	1
GCA_000329925	enterica	Enteritidis	402	56	1
GCA_000329945	enterica	Enteritidis	401	69	1
GCA_000329965	enterica	Enteritidis	403	82	1
GCA_000329985	enterica	Enteritidis	399	91	1
GCA_000330005	enterica	Enteritidis	400	65	1
GCA_000330025	enterica	Enteritidis	379	297	1
GCA_000330045	enterica	Enteritidis	401	116	1
GCA_000330065	enterica	Enteritidis	399	122	1
GCA_000330085	enterica	Enteritidis	401	79	1
GCA_000330105	enterica	Enteritidis	402	86	1
GCA_000330125	enterica	Enteritidis	399	100	1
GCA_000330145	enterica	Enteritidis	400	126	1
GCA_000330165	enterica	Enteritidis	399	193	1
GCA_000330185	enterica	Enteritidis	402	124	1
GCA_000330205	enterica	Enteritidis	402	93	1
GCA_000330225	enterica	Enteritidis	396	140	1
GCA_000330245	enterica	Enteritidis	402	74	1
GCA_000330265	enterica	Enteritidis	401	102	1
GCA_000330285	enterica	Enteritidis	389	261	1
GCA_000330305	enterica	Enteritidis	397	74	1
GCA_000330325	enterica	Enteritidis	394	176	1
GCA_000330345	enterica	Enteritidis	400	91	1
GCA_000330365	enterica	Enteritidis	402	142	1
GCA_000330385	enterica	Enteritidis	397	135	1
GCA_000330405	enterica	Enteritidis	352	609	1
GCA_000330425	enterica	Enteritidis	398	103	1
GCA_000330445	enterica	Enteritidis	293	243	1
GCA_000330465	enterica	Enteritidis	398	110	1
GCA_000330485	enterica	Pullorum	394	2	1
GCA_000330525	enterica	Enteritidis	314	1274	0
GCA_000330545	enterica	Enteritidis	294	1306	0
GCA_000330565	enterica	Enteritidis	402	57	1
GCA_000330585	enterica	Enteritidis	401	62	1
GCA_000330625	enterica	Agona	375	62	1
GCA_000330645	enterica	Agona	376	66	1
GCA_000330665	enterica	Agona	367	78	1
GCA_000335835	enterica	Rissen	374	95	1
GCA_000335855	enterica	Enteritidis	395	168	1
GCA_000335875	enterica	Enteritidis	405	2	1
GCA_000335895	enterica	Enteritidis	403	68	1
GCA_000335915	enterica	4,[5],12:i:-	401	71	1
GCA_000335935	enterica	4,[5],12:i:-	402	77	1
GCA_000335955	enterica	Javiana	365	51	1
GCA_000335975	enterica	Montevideo	362	128	1
GCA_000335995	enterica	Gallinarum	385	68	1
GCA_000336015	enterica	Dublin	397	52	1
GCA_000336035	enterica	Dublin	394	98	1
GCA_000336055	enterica	Enteritidis	396	151	1
GCA_000336075	enterica	Enteritidis	385	248	1
GCA_000336095	enterica	Enteritidis	348	918	1
GCA_000336115	enterica	Enteritidis	401	113	1
GCA_000336135	enterica	Kentucky	376	133	1
GCA_000336155	enterica	Typhimurium	402	94	1
GCA_000336175	enterica	Tennessee	373	59	1
GCA_000336195	enterica	Typhimurium	391	60	1
GCA_000336215	enterica	Typhimurium	391	33	1
GCA_000341425	enterica	Javiana	366	3	1
GCA_000344825	enterica	Newport	400	93	1
GCA_000344845	enterica	Newport	399	66	1
GCA_000344865	enterica	Newport	401	98	1
GCA_000344885	enterica	Newport	400	77	1
GCA_000353305	enterica	Dublin	383	133	1
GCA_000353585	enterica	Tennessee	378	4	1
GCA_000376525	houtenae	16:z4,z32:--	82	97	1
GCA_000380325	enterica	Typhimurium	405	4	1
GCA_000385905	enterica	Typhi	361	1	1
GCA_000388195	enterica	Agona	369	161	1
GCA_000388215	enterica	Agona	349	174	1
GCA_000388235	enterica	Agona	372	183	1
GCA_000388255	enterica	Agona	370	178	1
GCA_000388275	enterica	Agona	369	198	1
GCA_000388295	enterica	Agona	371	176	1
GCA_000388315	enterica	Agona	371	173	1
GCA_000388335	enterica	Agona	372	158	1
GCA_000388355	enterica	Agona	369	144	1
GCA_000388375	enterica	Agona	372	158	1
GCA_000388395	enterica	Agona	368	144	1
GCA_000388415	enterica	Agona	370	145	1
GCA_000388435	enterica	Agona	372	153	1
GCA_000388455	enterica	Agona	373	146	1
GCA_000388475	enterica	Agona	369	158	1
GCA_000388495	enterica	Agona	372	151	1
GCA_000388515	enterica	Agona	369	149	1
GCA_000388535	enterica	Agona	367	156	1
GCA_000388555	enterica	Agona	371	212	1
GCA_000388575	enterica	Agona	366	165	1
GCA_000388595	enterica	Agona	370	173	1
GCA_000388615	enterica	Agona	368	171	1
GCA_000388635	enterica	Agona	368	149	1
GCA_000388655	enterica	Agona	346	154	1
GCA_000388675	enterica	Agona	371	183	1
GCA_000388695	enterica	Agona	371	180	1
GCA_000388715	enterica	Agona	365	224	1
GCA_000388735	enterica	Agona	369	160	1
GCA_000388755	enterica	Agona	372	141	1
GCA_000388775	enterica	Agona	371	248	1
GCA_000388795	enterica	Agona	365	154	1
GCA_000388815	enterica	Agona	372	153	1
GCA_000388835	enterica	Agona	368	132	1
GCA_000388855	enterica	Agona	371	150	1
GCA_000388875	enterica	Agona	365	151	1
GCA_000388895	enterica	Agona	355	171	1
GCA_000388915	enterica	Agona	306	141	1
GCA_000388935	enterica	Agona	361	303	1
GCA_000388955	enterica	Agona	371	123	1
GCA_000388975	enterica	Agona	363	298	1
GCA_000388995	enterica	Agona	372	145	1
GCA_000389015	enterica	Agona	361	326	1
GCA_000389035	enterica	Agona	367	229	1
GCA_000389055	enterica	Agona	370	221	1
GCA_000389075	enterica	Agona	372	148	1
GCA_000389095	enterica	Agona	368	152	1
GCA_000389115	enterica	Agona	334	155	1
GCA_000389135	enterica	Agona	372	222	1
GCA_000389155	enterica	Agona	371	142	1
GCA_000389175	enterica	Agona	372	141	1
GCA_000389195	enterica	Agona	372	146	1
GCA_000389215	enterica	Agona	370	138	1
GCA_000389235	enterica	Agona	374	139	1
GCA_000389255	enterica	Agona	368	166	1
GCA_000389275	enterica	Agona	372	137	1
GCA_000389295	enterica	Agona	373	134	1
GCA_000389315	enterica	Agona	364	152	1
GCA_000389335	enterica	Agona	364	160	1
GCA_000389355	enterica	Agona	370	195	1
GCA_000389375	enterica	Agona	365	265	1
GCA_000389395	enterica	Agona	372	169	1
GCA_000389415	enterica	Agona	372	206	1
GCA_000389435	enterica	Agona	350	169	1
GCA_000389455	enterica	Agona	374	167	1
GCA_000389475	enterica	Agona	371	136	1
GCA_000389495	enterica	Agona	361	181	1
GCA_000389515	enterica	Agona	369	155	1
GCA_000389535	enterica	Agona	368	154	1
GCA_000389555	enterica	Agona	371	203	1
GCA_000389575	enterica	Agona	372	138	1
GCA_000411795	enterica	Paratyphi	360	30	1
GCA_000411815	enterica	Paratyphi	359	25	1
GCA_000411835	enterica	Paratyphi	356	27	1
GCA_000411855	enterica	Paratyphi	361	24	1
GCA_000411875	enterica	Paratyphi	357	24	1
GCA_000412795	enterica	Muenchen	398	113	1
GCA_000412815	enterica	Muenchen	396	143	1
GCA_000412835	enterica	Stanley	398	66	1
GCA_000412855	enterica	Poona	359	88	1
GCA_000412875	enterica	Anatum	402	43	1
GCA_000412895	enterica	Bareilly	384	87	1
GCA_000412915	enterica	Hadar	401	85	1
GCA_000412935	enterica	Hartford	392	117	1
GCA_000414745	enterica	Dublin	383	145	1
GCA_000414765	enterica	Enteritidis	385	152	1
GCA_000414785	enterica	Enteritidis	386	139	1
GCA_000414805	enterica	Enteritidis	385	141	1
GCA_000414825	enterica	Enteritidis	385	156	1
GCA_000414845	enterica	Enteritidis	383	149	1
GCA_000414865	enterica	Enteritidis	385	144	1
GCA_000414885	enterica	Enteritidis	386	148	1
GCA_000414905	enterica	Enteritidis	386	146	1
GCA_000414925	enterica	Enteritidis	386	159	1
GCA_000416295	enterica	Mbandaka	375	148	1
GCA_000416565	enterica	Kedougou	369	32	1
GCA_000430085	enterica	Heidelberg	405	3	1
GCA_000430105	enterica	Heidelberg	404	4	1
GCA_000430125	enterica	Cubana	371	3	1
GCA_000430145	enterica	Typhimurium	404	4	1
GCA_000430165	enterica	Typhimurium	403	1	1
GCA_000430975	enterica	Manhattan	402	18	1
GCA_000439415	enterica	Bareilly	401	2	1
GCA_000442415	enterica	Newport	403	1	1
GCA_000444445	enterica	Pullorum	387	1	1
GCA_000444835	enterica	Typhimurium	403	117	1
GCA_000462995	enterica	Gallinarum/pullorum	384	1	1
GCA_000464575	enterica	Abortusovis	345	213	1
GCA_000464895	enterica	Muenchen	396	131	1
GCA_000464935	enterica	Heidelberg	386	176	1
GCA_000465175	enterica	Typhimurium	398	63	1
GCA_000465195	enterica	Typhimurium	400	70	1
GCA_000465535	enterica	Enteritidis	399	124	1
GCA_000468255	enterica	Typhimurium	398	63	1
GCA_000473275	enterica	Thompson	403	1	1
GCA_000474295	enterica	Kentucky	380	101	1
GCA_000474315	enterica	Kentucky	379	100	1
GCA_000474335	enterica	Typhimurium	405	47	1
GCA_000474355	enterica	Typhimurium	405	46	1
GCA_000474375	enterica	Newport	399	54	1
GCA_000474395	enterica	Typhimurium	403	72	1
GCA_000474415	enterica	Kentucky	379	127	1
GCA_000474435	enterica	Kentucky	376	190	1
GCA_000474455	enterica	Kentucky	377	96	1
GCA_000474475	enterica	Typhimurium	405	45	1
GCA_000474495	enterica	Typhimurium	399	89	1
GCA_000474515	enterica	Newport	401	61	1
GCA_000474535	enterica	Newport	401	57	1
GCA_000474555	enterica	Typhimurium	403	77	1
GCA_000474575	enterica	Typhimurium	402	55	1
GCA_000483675	enterica	Newport	401	89	1
GCA_000483695	enterica	Newport	385	258	1
GCA_000483715	enterica	Newport	399	100	1
GCA_000483735	enterica	Newport	400	71	1
GCA_000483755	enterica	Newport	396	138	1
GCA_000483775	enterica	Newport	401	46	1
GCA_000483795	enterica	Agona	371	118	1
GCA_000483815	enterica	Agona	375	62	1
GCA_000483835	enterica	Newport	403	49	1
GCA_000483855	enterica	Muenster	356	161	1
GCA_000483875	enterica	Agona	370	89	1
GCA_000483895	enterica	Agona	376	56	1
GCA_000483915	enterica	Senftenberg	351	350	1
GCA_000483935	enterica	Agona	373	84	1
GCA_000483955	enterica	Newport	401	69	1
GCA_000483975	enterica	Saintpaul	405	42	1
GCA_000483995	enterica	Senftenberg	378	110	1
GCA_000484015	enterica	Paratyphi	375	76	1
GCA_000484035	enterica	Kentucky	376	108	1
GCA_000484055	enterica	Agona	370	97	1
GCA_000484075	enterica	Agona	371	98	1
GCA_000484095	enterica	Agona	374	60	1
GCA_000484115	enterica	Agona	374	50	1
GCA_000484135	enterica	Agona	375	62	1
GCA_000484155	enterica	Agona	375	70	1
GCA_000484175	enterica	Agona	373	77	1
GCA_000484195	enterica	Agona	376	1	1
GCA_000484215	enterica	Newport	400	82	1
GCA_000484235	enterica	Agona	373	58	1
GCA_000484255	enterica	Agona	376	55	1
GCA_000484275	enterica	Agona	366	123	1
GCA_000484295	enterica	Pullorum	391	48	1
GCA_000484315	enterica	Agona	373	92	1
GCA_000484335	enterica	Agona	371	166	1
GCA_000484355	enterica	Agona	361	194	1
GCA_000484375	enterica	Agona	371	111	1
GCA_000484395	enterica	Agona	375	59	1
GCA_000484415	enterica	Agona	376	65	1
GCA_000484435	enterica	Senftenberg	378	77	1
GCA_000484455	enterica	Newport	401	100	1
GCA_000484475	enterica	Newport	400	116	1
GCA_000486045	enterica	Heidelberg	402	110	1
GCA_000486065	enterica	Heidelberg	401	89	1
GCA_000486085	enterica	Heidelberg	403	63	1
GCA_000486105	enterica	Typhimurium	403	87	1
GCA_000486125	enterica	Typhimurium	400	121	1
GCA_000486145	salamae	58:l,z13,z28:z6	184	85	1
GCA_000486165	enterica	Saintpaul	401	66	1
GCA_000486185	enterica	Paratyphi	382	52	1
GCA_000486205	enterica	Paratyphi	378	266	1
GCA_000486225	indica	6,14,25:z10:1,(2),7	176	53	1
GCA_000486245	houtenae	50:g,z51:-	86	110	1
GCA_000486265	enterica	Worthington	357	346	1
GCA_000486285	enterica	Virchow	374	196	1
GCA_000486305	enterica	Urbana	334	279	1
GCA_000486325	enterica	Muenchen	401	39	1
GCA_000486345	enterica	Typhimurium	399	124	1
GCA_000486365	enterica	Thompson	403	1	1
GCA_000486385	enterica	Tennessee	352	420	1
GCA_000486405	enterica	Tennessee	378	1	1
GCA_000486425	enterica	Tallahassee	380	230	1
GCA_000486445	enterica	Sloterdijk	384	1	1
GCA_000486465	enterica	Senftenberg	361	56	1
GCA_000486485	enterica	Stanley	393	184	1
GCA_000486505	enterica	Senftenberg	379	68	1
GCA_000486525	enterica	Senftenberg	367	114	1
GCA_000486545	enterica	Saintpaul	405	28	1
GCA_000486565	enterica	Soerenga	384	204	1
GCA_000486585	enterica	Rubislaw	363	100	1
GCA_000486605	enterica	Paratyphi	396	135	1
GCA_000486625	enterica	Paratyphi	384	99	1
GCA_000486645	enterica	Paratyphi	390	73	1
GCA_000486665	enterica	Paratyphi	393	52	1
GCA_000486685	enterica	Paratyphi	388	82	1
GCA_000486705	enterica	Paratyphi	380	88	1
GCA_000486725	enterica	Paratyphi	365	39	1
GCA_000486745	enterica	Pullorum	390	59	1
GCA_000486765	enterica	Panama	366	1	1
GCA_000486795	enterica	Oranienburg	370	55	1
GCA_000486815	enterica	Oranienburg	363	138	1
GCA_000486835	enterica	Meleagridis	358	193	1
GCA_000486855	enterica	Minnesota	372	85	1
GCA_000486875	enterica	Senftenberg	377	80	1
GCA_000486895	enterica	Montevideo	356	57	1
GCA_000486915	enterica	Mbandaka	370	173	1
GCA_000486935	enterica	Miami	328	105	1
GCA_000486955	enterica	Muenchen	401	55	1
GCA_000486975	enterica	Senftenberg	374	102	1
GCA_000486995	enterica	Muenchen	394	213	1
GCA_000487015	enterica	Muenster	360	53	1
GCA_000487035	enterica	Muenster	356	97	1
GCA_000487055	enterica	Kentucky	371	216	1
GCA_000487075	enterica	Kentucky	375	128	1
GCA_000487095	enterica	Javiana	368	78	1
GCA_000487115	enterica	Javiana	356	115	1
GCA_000487135	enterica	Indiana	367	72	1
GCA_000487155	enterica	Inverness	392	68	1
GCA_000487175	enterica	Hadar	399	65	1
GCA_000487195	enterica	Gaminara	333	334	1
GCA_000487215	enterica	Give	364	41	1
GCA_000487235	enterica	Derby	355	261	1
GCA_000487255	enterica	Chester	363	69	1
GCA_000487275	enterica	Cerro	350	78	1
GCA_000487295	enterica	Choleraesuis	399	2	1
GCA_000487315	enterica	Choleraesuis	376	158	1
GCA_000487335	enterica	Braenderup	396	75	1
GCA_000487355	enterica	Bareilly	399	46	1
GCA_000487375	enterica	Berta	400	66	1
GCA_000487395	enterica	Bareilly	377	318	1
GCA_000487415	enterica	Bareilly	389	49	1
GCA_000487435	enterica	Bareilly	376	141	1
GCA_000487455	enterica	Bareilly	382	89	1
GCA_000487475	enterica	Agona	373	67	1
GCA_000487495	enterica	Agona	375	52	1
GCA_000487515	enterica	Albany	381	79	1
GCA_000487535	enterica	Agona	375	64	1
GCA_000487555	enterica	Agona	374	49	1
GCA_000487575	enterica	Anatum	405	1	1
GCA_000487595	enterica	Anatum	398	308	1
GCA_000487615	enterica	Abony	405	1	1
GCA_000487635	diarizonae	60:r:e,n,x,z15	138	108	1
GCA_000487655	enterica	Nchanga	303	665	1
GCA_000487675	enterica	Nchanga	319	550	1
GCA_000487695	enterica	Eastbourne	309	418	1
GCA_000487715	enterica	Cubana	292	930	1
GCA_000487735	enterica	Havana	298	480	1
GCA_000487755	enterica	London	173	1963	0
GCA_000487775	enterica	Bredeney	368	1	1
GCA_000487795	enterica	Ohio	326	399	1
GCA_000487815	enterica	Manhattan	290	618	1
